shieldcharacter,attackcharacter,movehitbox,charmovehitbox,shieldadvantage,shieldadvantageforcalculation,correctstartup,correctrow,randomrow1,randomrow2,randomrow3,totalnumberofchoices,correct,randomchoice1,randomchoice2,randomchoice3,choiceA,choiceB,choiceC,choiceD,correctindex,explanation,Column 1
Link,Mario,Fair (Early Hit),Mario Fair (Early Hit),-12,12,10,3,4,7,6,11,Shield Grab/Nair/Up Smash,Fair,Dash Attack,Dair,Fair,Dash Attack,Shield Grab/Nair/Up Smash,Dair,C,Move is -12 on shield. Shield Grab/Nair/Up Smash comes out on frame 10.,1.0
Link,Mario,Bair,Mario Bair,-2,2,0,1,3,8,6,11,No Guaranteed Punish,Jab,Dair,Shield Grab/Nair/Up Smash,Shield Grab/Nair/Up Smash,Dair,Jab,No Guaranteed Punish,D,Move is -2 on shield. Link does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Samus,Mario,Nair (Early Hit),Mario Nair (Early Hit),-2,2,0,1,7,3,11,11,No Guaranteed Punish,Down Smash,Up Tilt (Latest Hit),Shield Grab/Dash Attack/Ftilt,Up Tilt (Latest Hit),No Guaranteed Punish,Down Smash,Shield Grab/Dash Attack/Ftilt,B,Move is -2 on shield. Samus does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Samus,Mario,Nair (Late Hit),Mario Nair (Late Hit),-3,3,0,1,7,5,3,11,No Guaranteed Punish,F Smash,Up Tilt (Latest Hit),Neutral B,No Guaranteed Punish,Up Tilt (Latest Hit),Neutral B,F Smash,A,Move is -3 on shield. Samus does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Samus,Mario,Fair (Early Hit),Mario Fair (Early Hit),-12,12,11,3,11,7,6,11,Nair/Up Smash,Shield Grab/Dash Attack/Ftilt,Jab,F Smash,F Smash,Jab,Nair/Up Smash,Shield Grab/Dash Attack/Ftilt,C,Move is -12 on shield. Nair/Up Smash comes out on frame 11.,1.0
Samus,Mario,Bair,Mario Bair,-2,2,0,1,6,3,5,11,No Guaranteed Punish,F Smash,Shield Grab/Dash Attack/Ftilt,Dair (Meteor),Dair (Meteor),F Smash,Shield Grab/Dash Attack/Ftilt,No Guaranteed Punish,D,Move is -2 on shield. Samus does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Yoshi,Mario,Nair (Early Hit),Mario Nair (Early Hit),-2,2,0,1,3,10,5,10,No Guaranteed Punish,Down Smash/Down B/Shield Grab,Jab,Fair (Latest Hit),Fair (Latest Hit),Jab,Down Smash/Down B/Shield Grab,No Guaranteed Punish,D,Move is -2 on shield. Yoshi does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Yoshi,Mario,Nair (Late Hit),Mario Nair (Late Hit),-3,3,0,1,8,6,4,10,No Guaranteed Punish,Fair (Latest Hit),Jab,Up Tilt/Dtilt/Dair,Jab,Up Tilt/Dtilt/Dair,No Guaranteed Punish,Fair (Latest Hit),C,Move is -3 on shield. Yoshi does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Yoshi,Mario,Fair (Early Hit),Mario Fair (Early Hit),-12,12,11,3,6,7,5,10,Up Smash,No Guaranteed Punish,Nair,Down Smash/Down B/Shield Grab,Down Smash/Down B/Shield Grab,Up Smash,Nair,No Guaranteed Punish,B,Move is -12 on shield. Up Smash comes out on frame 11.,1.0
Yoshi,Mario,Bair,Mario Bair,-2,2,0,1,10,2,3,10,No Guaranteed Punish,Jab,Ftilt,Fair (Latest Hit),No Guaranteed Punish,Jab,Fair (Latest Hit),Ftilt,A,Move is -2 on shield. Yoshi does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Kirby,Mario,Nair (Early Hit),Mario Nair (Early Hit),-2,2,0,1,9,5,11,11,No Guaranteed Punish,Down Smash,F Smash,Dash Attack,No Guaranteed Punish,F Smash,Dash Attack,Down Smash,A,Move is -2 on shield. Kirby does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Kirby,Mario,Nair (Late Hit),Mario Nair (Late Hit),-3,3,0,1,6,4,8,11,No Guaranteed Punish,Fair/Jab,Nair/Up Air,Up Tilt (Latest Hit)/Dair/Neutral B,Fair/Jab,No Guaranteed Punish,Up Tilt (Latest Hit)/Dair/Neutral B,Nair/Up Air,B,Move is -3 on shield. Kirby does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Kirby,Mario,Fair (Early Hit),Mario Fair (Early Hit),-12,12,12,4,2,7,5,11,Up Smash,F Smash,Shield Grab,Nair/Up Air,Shield Grab,Up Smash,Nair/Up Air,F Smash,B,Move is -12 on shield. Up Smash comes out on frame 12.,1.0
Kirby,Mario,Bair,Mario Bair,-2,2,0,1,7,5,6,11,No Guaranteed Punish,Ftilt,Dtilt,Up Tilt (Latest Hit)/Dair/Neutral B,No Guaranteed Punish,Ftilt,Up Tilt (Latest Hit)/Dair/Neutral B,Dtilt,A,Move is -2 on shield. Kirby does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Fox,Mario,Nair (Early Hit),Mario Nair (Early Hit),-2,2,0,1,2,8,5,10,No Guaranteed Punish,F Smash,Dash Attack,Down B (Air),No Guaranteed Punish,Down B (Air),F Smash,Dash Attack,A,Move is -2 on shield. Fox does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Fox,Mario,Nair (Late Hit),Mario Nair (Late Hit),-3,3,0,1,2,10,3,10,No Guaranteed Punish,Shield Grab/Fair,Down Smash,Nair,Down Smash,Shield Grab/Fair,No Guaranteed Punish,Nair,C,Move is -3 on shield. Fox does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Fox,Mario,Fair (Early Hit),Mario Fair (Early Hit),-12,12,10,5,7,3,2,10,Shield Grab/Fair,Down Smash,Nair,Dash Attack,Down Smash,Nair,Dash Attack,Shield Grab/Fair,D,Move is -12 on shield. Shield Grab/Fair comes out on frame 10.,1.0
Fox,Mario,Bair,Mario Bair,-2,2,0,1,5,10,7,10,No Guaranteed Punish,Down B (Air),Nair,Jab,Down B (Air),Jab,Nair,No Guaranteed Punish,D,Move is -2 on shield. Fox does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Pikachu,Mario,Nair (Early Hit),Mario Nair (Early Hit),-2,2,0,1,10,8,6,11,No Guaranteed Punish,Up Tilt (Latest Hit),Fair,Up Smash,Up Smash,No Guaranteed Punish,Up Tilt (Latest Hit),Fair,B,Move is -2 on shield. Pikachu does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Pikachu,Mario,Nair (Late Hit),Mario Nair (Late Hit),-3,3,0,1,2,7,11,11,No Guaranteed Punish,F Smash,Nair,Shield Grab/Up Air (Latest Hit),Shield Grab/Up Air (Latest Hit),Nair,F Smash,No Guaranteed Punish,D,Move is -3 on shield. Pikachu does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Pikachu,Mario,Fair (Early Hit),Mario Fair (Early Hit),-12,12,11,4,2,10,11,11,Shield Grab/Up Air (Latest Hit),Nair,Fair,Up Tilt (Latest Hit),Fair,Nair,Shield Grab/Up Air (Latest Hit),Up Tilt (Latest Hit),C,Move is -12 on shield. Shield Grab/Up Air (Latest Hit) comes out on frame 11.,1.0
Pikachu,Mario,Bair,Mario Bair,-2,2,0,1,9,11,6,11,No Guaranteed Punish,Dash Attack/Dair/Ftilt,Shield Grab/Up Air (Latest Hit),Jab,Dash Attack/Dair/Ftilt,Jab,Shield Grab/Up Air (Latest Hit),No Guaranteed Punish,D,Move is -2 on shield. Pikachu does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Luigi,Mario,Nair (Early Hit),Mario Nair (Early Hit),-2,2,0,1,9,2,7,11,No Guaranteed Punish,Dash Attack,Down Smash,Up B/Up Air,Down Smash,No Guaranteed Punish,Dash Attack,Up B/Up Air,B,Move is -2 on shield. Luigi does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Luigi,Mario,Nair (Late Hit),Mario Nair (Late Hit),-3,3,0,1,11,7,10,11,No Guaranteed Punish,F Smash,Up Smash (Latest Hit)/Jab/Dair,Side B,Side B,F Smash,No Guaranteed Punish,Up Smash (Latest Hit)/Jab/Dair,C,Move is -3 on shield. Luigi does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Luigi,Mario,Fair (Early Hit),Mario Fair (Early Hit),-12,12,10,4,2,1,8,11,Fair,Nair,Up Smash (Latest Hit)/Jab/Dair,Side B,Side B,Up Smash (Latest Hit)/Jab/Dair,Fair,Nair,C,Move is -12 on shield. Fair comes out on frame 10.,1.0
Luigi,Mario,Bair,Mario Bair,-2,2,0,1,11,4,7,11,No Guaranteed Punish,Nair,Side B,Shield Grab,Shield Grab,No Guaranteed Punish,Nair,Side B,B,Move is -2 on shield. Luigi does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Ness,Mario,Nair (Early Hit),Mario Nair (Early Hit),-2,2,0,1,7,6,10,11,No Guaranteed Punish,Up Tilt,Side B (Ground),Up Smash/Shield Grab/Down B (Air),Up Tilt,No Guaranteed Punish,Side B (Ground),Up Smash/Shield Grab/Down B (Air),B,Move is -2 on shield. Ness does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Ness,Mario,Nair (Late Hit),Mario Nair (Late Hit),-3,3,0,1,7,3,5,11,No Guaranteed Punish,Jab/Dtilt,Dair/Side B (Air),Side B (Ground),Side B (Ground),No Guaranteed Punish,Jab/Dtilt,Dair/Side B (Air),B,Move is -3 on shield. Ness does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Ness,Mario,Fair (Early Hit),Mario Fair (Early Hit),-12,12,11,4,2,11,7,11,Fair/Up Air,Dair/Side B (Air),Jab/Dtilt,Nair,Fair/Up Air,Dair/Side B (Air),Jab/Dtilt,Nair,A,Move is -12 on shield. Fair/Up Air comes out on frame 11.,1.0
Ness,Mario,Bair,Mario Bair,-2,2,0,1,6,2,3,11,No Guaranteed Punish,Up Tilt,Up Smash/Shield Grab/Down B (Air),Side B (Ground),Up Tilt,No Guaranteed Punish,Side B (Ground),Up Smash/Shield Grab/Down B (Air),B,Move is -2 on shield. Ness does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Captain Falcon,Mario,Nair (Early Hit),Mario Nair (Early Hit),-2,2,0,1,6,10,8,11,No Guaranteed Punish,F Smash/Down Smash,Dair,Down B,Dair,F Smash/Down Smash,No Guaranteed Punish,Down B,C,Move is -2 on shield. Captain Falcon does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Captain Falcon,Mario,Nair (Late Hit),Mario Nair (Late Hit),-3,3,0,1,6,3,9,11,No Guaranteed Punish,F Smash/Down Smash,Dair,Dash Attack/Ftilt,Dair,Dash Attack/Ftilt,F Smash/Down Smash,No Guaranteed Punish,D,Move is -3 on shield. Captain Falcon does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Captain Falcon,Mario,Fair (Early Hit),Mario Fair (Early Hit),-12,12,10,2,8,9,3,11,Shield Grab/Nair/Up Air,Up Tilt (Latest Hit),Dash Attack/Ftilt,No Guaranteed Punish,Up Tilt (Latest Hit),No Guaranteed Punish,Shield Grab/Nair/Up Air,Dash Attack/Ftilt,C,Move is -12 on shield. Shield Grab/Nair/Up Air comes out on frame 10.,1.0
Captain Falcon,Mario,Bair,Mario Bair,-2,2,0,1,7,2,9,11,No Guaranteed Punish,F Smash/Down Smash,Side B (Earliest Hit),Dair,No Guaranteed Punish,Dair,F Smash/Down Smash,Side B (Earliest Hit),A,Move is -2 on shield. Captain Falcon does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Jigglypuff,Mario,Nair (Early Hit),Mario Nair (Early Hit),-2,2,0,1,4,12,9,12,No Guaranteed Punish,Down B (Air),Down Smash,Ftilt,No Guaranteed Punish,Down B (Air),Down Smash,Ftilt,A,Move is -2 on shield. Jigglypuff does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Jigglypuff,Mario,Nair (Late Hit),Mario Nair (Late Hit),-3,3,0,1,11,3,12,12,No Guaranteed Punish,Jab/Dash Attack/Side B (Air),Fair,Nair,Jab/Dash Attack/Side B (Air),No Guaranteed Punish,Nair,Fair,B,Move is -3 on shield. Jigglypuff does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Jigglypuff,Mario,Fair (Early Hit),Mario Fair (Early Hit),-12,12,11,5,12,7,6,12,Fair,Up Air (Latest Hit),Nair,Up Smash (Latest Hit),Nair,Fair,Up Smash (Latest Hit),Up Air (Latest Hit),B,Move is -12 on shield. Fair comes out on frame 11.,1.0
Jigglypuff,Mario,Bair,Mario Bair,-2,2,0,1,4,2,9,12,No Guaranteed Punish,Dtilt,F Smash,Nair,Dtilt,No Guaranteed Punish,Nair,F Smash,B,Move is -2 on shield. Jigglypuff does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Min Min,Mario,Nair (Early Hit),Mario Nair (Early Hit),-2,2,0,1,5,3,4,10,No Guaranteed Punish,Dtilt,Jab,Up Smash,No Guaranteed Punish,Up Smash,Dtilt,Jab,A,Move is -2 on shield. Min Min does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Min Min,Mario,Nair (Late Hit),Mario Nair (Late Hit),-3,3,0,1,7,2,10,10,No Guaranteed Punish,Shield Grab,Up Smash,Ram Ram Nair,Shield Grab,Ram Ram Nair,No Guaranteed Punish,Up Smash,C,Move is -3 on shield. Min Min does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Min Min,Mario,Fair (Early Hit),Mario Fair (Early Hit),-12,12,11,3,7,8,6,10,Ram Ram Nair,Dtilt,Up Smash,Ftilt,Dtilt,Up Smash,Ram Ram Nair,Ftilt,C,Move is -12 on shield. Ram Ram Nair comes out on frame 11.,1.0
Min Min,Mario,Bair,Mario Bair,-2,2,0,1,4,2,8,10,No Guaranteed Punish,Ftilt,Dash Attack,Jab,Jab,Ftilt,No Guaranteed Punish,Dash Attack,C,Move is -2 on shield. Min Min does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Mario,Donkey Kong,Nair (Early Hit),Donkey Kong Nair (Early Hit),-5,5,3,2,6,7,9,10,Up B,Ftilt/Up Tilt/Dtilt/Down Smash,Shield Grab,Dash Attack,Up B,Dash Attack,Shield Grab,Ftilt/Up Tilt/Dtilt/Down Smash,A,Move is -5 on shield. Up B comes out on frame 3.,1.0
Mario,Donkey Kong,Nair (Late Hit),Donkey Kong Nair (Late Hit),-6,6,6,3,6,10,4,10,Nair,Shield Grab,Up Smash (final hitbox),No Guaranteed Punish,No Guaranteed Punish,Nair,Up Smash (final hitbox),Shield Grab,B,Move is -6 on shield. Nair comes out on frame 6.,1.0
Mario,Donkey Kong,Fair (Meteor Hit),Donkey Kong Fair (Meteor Hit),-11,11,10,5,10,1,2,10,Shield Grab,Jab,Up Air,Dash Attack,Dash Attack,Up Air,Jab,Shield Grab,D,Move is -11 on shield. Shield Grab comes out on frame 10.,1.0
Mario,Donkey Kong,Bair (Early Hit),Donkey Kong Bair (Early Hit),-6,6,6,3,6,5,4,10,Nair,F Smash,Up Air,Jab,Jab,F Smash,Up Air,Nair,D,Move is -6 on shield. Nair comes out on frame 6.,1.0
Donkey Kong,Donkey Kong,Nair (Early Hit),Donkey Kong Nair (Early Hit),-5,5,0,1,10,5,7,14,No Guaranteed Punish,Neutral B (Full Charge),Nair,Dtilt/Dair,No Guaranteed Punish,Neutral B (Full Charge),Nair,Dtilt/Dair,A,Move is -5 on shield. Donkey Kong does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Donkey Kong,Donkey Kong,Nair (Late Hit),Donkey Kong Nair (Late Hit),-6,6,0,1,9,11,8,14,No Guaranteed Punish,Dash Attack,Side B,Up B (Ground),Dash Attack,Up B (Ground),Side B,No Guaranteed Punish,D,Move is -6 on shield. Donkey Kong does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Donkey Kong,Donkey Kong,Fair (Meteor Hit),Donkey Kong Fair (Meteor Hit),-11,11,11,2,10,8,13,14,Shield Grab,Jab/Up Tilt,Up B (Ground),No Guaranteed Punish,Shield Grab,No Guaranteed Punish,Jab/Up Tilt,Up B (Ground),A,Move is -11 on shield. Shield Grab comes out on frame 11.,1.0
Donkey Kong,Donkey Kong,Bair (Early Hit),Donkey Kong Bair (Early Hit),-6,6,0,1,5,14,13,14,No Guaranteed Punish,Side B,Fair (Latest Hit),Jab/Up Tilt,Fair (Latest Hit),No Guaranteed Punish,Jab/Up Tilt,Side B,B,Move is -6 on shield. Donkey Kong does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Link,Donkey Kong,Nair (Early Hit),Donkey Kong Nair (Early Hit),-5,5,0,1,3,6,4,11,No Guaranteed Punish,Dtilt,F Smash,Ftilt,F Smash,No Guaranteed Punish,Dtilt,Ftilt,B,Move is -5 on shield. Link does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Link,Donkey Kong,Nair (Late Hit),Donkey Kong Nair (Late Hit),-6,6,0,1,10,4,2,11,No Guaranteed Punish,Dtilt,Down Smash/Up Tilt (Latest Hit),Up B,Down Smash/Up Tilt (Latest Hit),Dtilt,Up B,No Guaranteed Punish,D,Move is -6 on shield. Link does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Link,Donkey Kong,Fair (Meteor Hit),Donkey Kong Fair (Meteor Hit),-11,11,10,3,11,4,6,11,Shield Grab/Nair/Up Smash,Dtilt,F Smash,Jab,Jab,F Smash,Shield Grab/Nair/Up Smash,Dtilt,C,Move is -11 on shield. Shield Grab/Nair/Up Smash comes out on frame 10.,1.0
Link,Donkey Kong,Bair (Early Hit),Donkey Kong Bair (Early Hit),-6,6,0,1,10,6,9,11,No Guaranteed Punish,F Smash,Shield Grab/Nair/Up Smash,Dair,Shield Grab/Nair/Up Smash,F Smash,No Guaranteed Punish,Dair,C,Move is -6 on shield. Link does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Samus,Donkey Kong,Nair (Early Hit),Donkey Kong Nair (Early Hit),-5,5,4,2,1,6,4,11,Up B,Neutral B,Shield Grab/Dash Attack/Ftilt,Up Tilt (Latest Hit),Neutral B,Up Tilt (Latest Hit),Up B,Shield Grab/Dash Attack/Ftilt,C,Move is -5 on shield. Up B comes out on frame 4.,1.0
Samus,Donkey Kong,Nair (Late Hit),Donkey Kong Nair (Late Hit),-6,6,4,2,6,5,9,11,Up B,Up Tilt (Latest Hit),Dair (Meteor),Dtilt,Up B,Dair (Meteor),Up Tilt (Latest Hit),Dtilt,A,Move is -6 on shield. Up B comes out on frame 4.,1.0
Samus,Donkey Kong,Fair (Meteor Hit),Donkey Kong Fair (Meteor Hit),-11,11,11,3,4,1,7,11,Nair/Up Smash,Dtilt,F Smash,Up B,F Smash,Up B,Nair/Up Smash,Dtilt,C,Move is -11 on shield. Nair/Up Smash comes out on frame 11.,1.0
Samus,Donkey Kong,Bair (Early Hit),Donkey Kong Bair (Early Hit),-6,6,4,2,7,5,4,11,Up B,Jab,Up Tilt (Latest Hit),Shield Grab/Dash Attack/Ftilt,Up B,Shield Grab/Dash Attack/Ftilt,Up Tilt (Latest Hit),Jab,A,Move is -6 on shield. Up B comes out on frame 4.,1.0
Yoshi,Donkey Kong,Nair (Early Hit),Donkey Kong Nair (Early Hit),-5,5,0,1,6,4,5,10,No Guaranteed Punish,Fair (Latest Hit),Up Smash,Nair,Nair,Up Smash,No Guaranteed Punish,Fair (Latest Hit),C,Move is -5 on shield. Yoshi does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Yoshi,Donkey Kong,Nair (Late Hit),Donkey Kong Nair (Late Hit),-6,6,6,2,6,7,4,10,Nair,Dash Attack,Ftilt,Jab,Ftilt,Dash Attack,Nair,Jab,C,Move is -6 on shield. Nair comes out on frame 6.,1.0
Yoshi,Donkey Kong,Fair (Meteor Hit),Donkey Kong Fair (Meteor Hit),-11,11,11,3,7,5,4,10,Up Smash,Nair,Fair (Latest Hit),F Smash,Up Smash,F Smash,Fair (Latest Hit),Nair,A,Move is -11 on shield. Up Smash comes out on frame 11.,1.0
Yoshi,Donkey Kong,Bair (Early Hit),Donkey Kong Bair (Early Hit),-6,6,6,2,10,8,5,10,Nair,Up Tilt/Dtilt/Dair,Ftilt,F Smash,Ftilt,F Smash,Up Tilt/Dtilt/Dair,Nair,D,Move is -6 on shield. Nair comes out on frame 6.,1.0
Kirby,Donkey Kong,Nair (Early Hit),Donkey Kong Nair (Early Hit),-5,5,0,1,4,11,3,11,No Guaranteed Punish,Dtilt,Ftilt,Fair/Jab,No Guaranteed Punish,Ftilt,Dtilt,Fair/Jab,A,Move is -5 on shield. Kirby does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Kirby,Donkey Kong,Nair (Late Hit),Donkey Kong Nair (Late Hit),-6,6,0,1,11,6,5,11,No Guaranteed Punish,Nair/Up Air,Down Smash,Fair/Jab,Nair/Up Air,No Guaranteed Punish,Fair/Jab,Down Smash,B,Move is -6 on shield. Kirby does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Kirby,Donkey Kong,Fair (Meteor Hit),Donkey Kong Fair (Meteor Hit),-11,11,11,3,4,7,8,11,Nair/Up Air,F Smash,Ftilt,Up Tilt (Latest Hit)/Dair/Neutral B,F Smash,Ftilt,Nair/Up Air,Up Tilt (Latest Hit)/Dair/Neutral B,C,Move is -11 on shield. Nair/Up Air comes out on frame 11.,1.0
Kirby,Donkey Kong,Bair (Early Hit),Donkey Kong Bair (Early Hit),-6,6,0,1,5,8,6,11,No Guaranteed Punish,Ftilt,Down Smash,Dash Attack,Ftilt,Down Smash,No Guaranteed Punish,Dash Attack,C,Move is -6 on shield. Kirby does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Fox,Donkey Kong,Nair (Early Hit),Donkey Kong Nair (Early Hit),-5,5,0,1,4,9,5,10,No Guaranteed Punish,Shield Grab/Fair,Up Smash/Dair,Dtilt/Up Tilt (Latest Hit),Dtilt/Up Tilt (Latest Hit),Shield Grab/Fair,No Guaranteed Punish,Up Smash/Dair,C,Move is -5 on shield. Fox does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Fox,Donkey Kong,Nair (Late Hit),Donkey Kong Nair (Late Hit),-6,6,6,2,4,5,3,10,Down B (Air),Down Smash,Dtilt/Up Tilt (Latest Hit),F Smash,Dtilt/Up Tilt (Latest Hit),Down B (Air),Down Smash,F Smash,B,Move is -6 on shield. Down B (Air) comes out on frame 6.,1.0
Fox,Donkey Kong,Fair (Meteor Hit),Donkey Kong Fair (Meteor Hit),-11,11,10,5,9,10,6,10,Shield Grab/Fair,F Smash,Jab,Up Smash/Dair,Up Smash/Dair,Jab,F Smash,Shield Grab/Fair,D,Move is -11 on shield. Shield Grab/Fair comes out on frame 10.,1.0
Fox,Donkey Kong,Bair (Early Hit),Donkey Kong Bair (Early Hit),-6,6,6,2,9,10,7,10,Down B (Air),No Guaranteed Punish,Nair,F Smash,Down B (Air),F Smash,Nair,No Guaranteed Punish,A,Move is -6 on shield. Down B (Air) comes out on frame 6.,1.0
Pikachu,Donkey Kong,Nair (Early Hit),Donkey Kong Nair (Early Hit),-5,5,0,1,3,2,8,11,No Guaranteed Punish,Up Tilt (Latest Hit),Dash Attack/Dair/Ftilt,Shield Grab/Up Air (Latest Hit),Shield Grab/Up Air (Latest Hit),No Guaranteed Punish,Up Tilt (Latest Hit),Dash Attack/Dair/Ftilt,B,Move is -5 on shield. Pikachu does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Pikachu,Donkey Kong,Nair (Late Hit),Donkey Kong Nair (Late Hit),-6,6,6,2,9,6,4,11,Nair,Jab,F Smash,Shield Grab/Up Air (Latest Hit),Jab,F Smash,Nair,Shield Grab/Up Air (Latest Hit),C,Move is -6 on shield. Nair comes out on frame 6.,1.0
Pikachu,Donkey Kong,Fair (Meteor Hit),Donkey Kong Fair (Meteor Hit),-11,11,11,4,6,7,11,11,Shield Grab/Up Air (Latest Hit),Down Smash,Nair,Up Smash,Up Smash,Shield Grab/Up Air (Latest Hit),Down Smash,Nair,B,Move is -11 on shield. Shield Grab/Up Air (Latest Hit) comes out on frame 11.,1.0
Pikachu,Donkey Kong,Bair (Early Hit),Donkey Kong Bair (Early Hit),-6,6,6,2,7,10,6,11,Nair,Fair,Dtilt,Shield Grab/Up Air (Latest Hit),Fair,Nair,Dtilt,Shield Grab/Up Air (Latest Hit),B,Move is -6 on shield. Nair comes out on frame 6.,1.0
